Filename,FB_ID,FB_name,FCCS_Code,SFP,Surface_Reaction,Surface_Spread,Surface_Flamelength,CFP,Crown_Initiation,Crown_Transmissivity,Crown_Spread,AFP,Available_Flame,Available_Smolder,Available_Residual,Version
fuelbed_31132.xml,31132,"Mesic upland 11-20 yr old longleaf pine forest, 9-20 yr mFRI",421,4.3695,4.5446,4.3695,3.3625,2.3832,3.523,0,2.0374,0.9509,0.7651,0.0772,0.1086,3.0.257
fuelbed_31133.xml,31133,"Mesic upland 21-40 yr old longleaf pine forest, 9-20 yr mFRI",552,4.8305,4.6969,4.8305,3.667,4.777,5.8979,7.1922,2.8503,1.7473,1.2723,0.289,0.186,3.0.257
fuelbed_31134.xml,31134,"Mesic upland 41-60 yr old longleaf pine forest, 9-20 yr mFRI",532,5.0522,4.4496,5.0522,3.7312,3.3642,2.3797,7.1922,3.0721,1.9908,1.4026,0.3028,0.2855,3.0.257
fuelbed_31135.xml,31135,"Mesic upland 61-100 yr old longleaf pine forest, 9-20 yr mFRI",532,4.8085,4.4817,4.8085,3.6805,3.3037,2.14,7.1922,3.1708,2.3339,1.6324,0.3166,0.3849,3.0.257
fuelbed_31136.xml,31136,"Mesic upland >100 yr old longleaf pine forest, 9-20 yr mFRI",432,4.3028,4.508,4.3028,3.5245,3.1768,2.0608,7.1922,2.9537,2.3778,1.6561,0.3221,0.3997,3.0.257
fuelbed_31513.xml,31513,"Mesic upland 21-40 yr old  long-needle pine plantation, 1-3 yr mFRI",621,5.7955,3.938,5.7955,3.4938,2.0591,2.3502,0,2.4541,0.501,0.4022,0.018,0.0807,3.0.257
fuelbed_31514.xml,31514,"Mesic upland 21-40 yr old  long-needle pine plantation, 1-3 yr mFRI",521,4.758,4.5299,4.758,3.4439,1.8131,1.987,0,2.2433,0.7642,0.6049,0.0297,0.1296,3.0.257
fuelbed_31523.xml,31523,"Mesic upland 21-40 yr old  long-needle pine plantation, 4-8 yr mFRI",641,6.3221,5.0663,6.3221,4.2938,3.7275,2.9089,7.1922,3.3906,1.1395,0.883,0.0845,0.172,3.0.257
fuelbed_31524.xml,31524,"Mesic upland 41-60 yr old  long-needle pine plantation, 4-8 yr mFRI",642,6.1411,5.2666,6.1411,4.3373,3.5743,2.4939,7.1922,3.4482,1.6493,1.2338,0.1013,0.3142,3.0.257
fuelbed_31532.xml,31532,"Mesic upland 11-20 yr old  long-needle pine plantation, 9-20 yr mFRI",531,5.4704,5.5563,5.4704,4.2888,2.7521,4.0902,0,2.331,1.1572,0.9711,0.0769,0.1092,3.0.257
fuelbed_31533.xml,31533,"Mesic uplands 21-40 yr old  long-needle pine plantation, 9-20 yr mFRI",642,6.1713,5.5285,6.1713,4.579,3.7765,3.2892,7.1922,3.1246,1.8726,1.3972,0.2886,0.1869,3.0.257
fuelbed_31534.xml,31534,"Mesic uplands 41-60 yr old  long-needle pine plantation, 9-20 yr mFRI",742,6.5976,5.1118,6.5976,4.6102,3.7115,2.7973,7.1922,3.4648,2.3788,1.6975,0.3097,0.3715,3.0.257
fuelbed_31541.xml,31541,Mesic upland 0-10 yr old long-needle pine plantation >20 yr mFRI,331,2.7902,5.0648,2.3122,2.7902,2.5165,0,8.8547,2.92,1.4782,0.9809,0.2328,0.2645,3.0.257
fuelbed_31542.xml,31542,Mesic upland 11-20 yr old long-needle pine plantation >20 yr mFRI,452,3.7338,4.8508,3.7338,3.3925,4.7518,3.841,8.8547,4.2941,1.9213,1.2979,0.3405,0.283,3.0.257
fuelbed_31543.xml,31543,Mesic upland 21-40 yr old long-needle pine plantation >20 yr mFRI,553,5.0991,5.2448,5.0991,4.1345,5.3342,3.962,8.8547,5.5321,2.8421,2.0176,0.5915,0.233,3.0.257
fuelbed_31544.xml,31544,Mesic upland 41-60 yr old long-needle pine plantation >20 yr mFRI,673,5.5724,5.3005,5.5724,4.3814,6.7018,7.7758,7.1922,5.4633,3.1502,2.2843,0.6021,0.2638,3.0.257
fuelbed_32141.xml,32141,"Mesic upland 0-10 yr old oak-pine forest, >20 yr mFRI",300,2.906,2.5932,2.906,2.0666,0,0,0,0,0.3764,0.3576,0.0072,0.0116,3.0.257
fuelbed_32142.xml,32142,"Mesic upland 11-20 yr old oak-pine forest, >20 yr mFRI",321,3.2888,2.6938,3.2888,2.2866,2.4982,2.285,5.8419,1.5964,0.8405,0.678,0.0695,0.0929,3.0.257
fuelbed_32143.xml,32143,"Mesic upland 21-40 yr old oak-pine forest, >20 yr mFRI",432,4.1116,2.8584,4.1116,2.6397,3.3635,2.2675,9,2.5801,1.5836,1.1105,0.2889,0.1841,3.0.257
fuelbed_32144.xml,32144,"Mesic upland 41-60 yr old oak-pine forest, >20 yr mFRI",532,4.5906,2.9024,4.5906,2.8002,3.3253,1.8291,9,2.9295,2.4323,1.5741,0.561,0.2973,3.0.257
fuelbed_32145.xml,32145,"Mesic upland 61-100 yr old oak-pine forest, >20 yr mFRI",533,4.5616,2.9118,4.5616,2.7969,3.3755,1.6798,9,3.1958,2.9473,1.9252,0.6261,0.3959,3.0.257
fuelbed_32146.xml,32146,"Mesic upland >100 yr old oak-pine forest, >20 yr mFRI",533,4.5615,2.9118,4.5615,2.7969,3.3755,1.6798,9,3.1958,2.9723,1.9305,0.6314,0.4104,3.0.257
fuelbed_33141.xml,33141,"Mesic upland 0-10 yr old oak forest, >20 yr mFRI",300,3.2099,2.7655,3.2099,2.2968,0,0,0,0,0.2248,0.2036,0.0088,0.0125,3.0.257
fuelbed_33142.xml,33142,"Mesic upland 11-20 yr old oak forest, >20 yr mFRI",431,3.6686,2.7222,3.6686,2.5127,3.0821,2.6196,5.8419,2.624,0.5903,0.4721,0.0218,0.0964,3.0.257
fuelbed_33143.xml,33143,"Mesic upland 21-40 yr old oak forest, >20 yr mFRI",441,3.5187,2.5391,3.5187,2.4876,4.1616,2.2019,9,4.5078,1.1994,0.9209,0.0875,0.1911,3.0.257
fuelbed_33144.xml,33144,"Mesic upland 41-60 yr old oak forest, >20 yr mFRI",441,4.2987,2.8439,4.2987,2.8905,4.0453,1.8972,9,4.5412,1.4684,1.0254,0.135,0.3081,3.0.257
fuelbed_33145.xml,33145,"Mesic upland 60-100 yr old oak forest, >20 yr mFRI",442,4.2645,2.9539,4.2645,2.9711,4.0313,1.7825,9,4.6232,1.9528,1.3756,0.1678,0.4095,3.0.257
fuelbed_33146.xml,33146,"Mesic upland >100 yr old oak forest, >20 yr mFRI",442,4.3804,3.0284,4.3804,3.0786,3.8074,1.8384,9,4.045,1.9389,1.3404,0.1735,0.425,3.0.257
fuelbed_41111.xml,41111,"Xeric upland 0-10 yr old longleaf pine forest, 1-3 yr mFRI",300,3.4009,2.2207,3.4009,1.9746,0.4742,0,0,1.1064,0.0794,0.0746,0.0018,0.003,3.0.257
fuelbed_41112.xml,41112,"Xeric upland 11-20 yr old longleaf pine forest, 1-3 yr mFRI",430,4.0747,2.186,4.0747,2.1637,2.5224,4.2101,0,1.6751,0.2403,0.2037,0.005,0.0316,3.0.257
fuelbed_41113.xml,41113,"Xeric upland 21-40 yr old longleaf pine forest, 1-3 yr mFRI",441,3.7498,2.3421,3.7498,2.2048,3.7318,4.2795,4.7451,2.8456,0.6643,0.5952,0.009,0.0601,3.0.257
fuelbed_41114.xml,41114,"Xeric upland 41-60 yr old longleaf pine forest, 1-3 yr mFRI",531,5.3558,2.8427,5.3558,2.9145,2.7104,2.2207,4.7451,2.5215,0.6185,0.4987,0.0166,0.1032,3.0.257
fuelbed_41115.xml,41115,"Xeric upland 61-100 yr old longleaf pine forest, 1-3 yr mFRI",531,5.2424,2.9852,5.2424,2.9935,2.5669,2.0546,4.7451,2.3526,0.7643,0.5734,0.0271,0.1639,3.0.257
fuelbed_41116.xml,41116,"Xeric upland >100 yr old longleaf pine forest, 1-3 yr mFRI",521,4.9681,2.9455,4.9681,2.931,2.4682,1.9203,4.7451,2.2568,0.8953,0.6924,0.03,0.1729,3.0.257
fuelbed_41121.xml,41121,"Xeric upland 0-10 yr old longleaf pine forest, 4-8 yr mFRI",300,2.6618,2.4903,2.6618,1.8767,0.4716,0,0,1.1003,0.1632,0.1257,0.0058,0.0317,3.0.257
fuelbed_41122.xml,41122,"Xeric upland 11-20 yr old longleaf pine forest, 4-8 yr mFRI",330,3.4153,2.5608,3.4153,2.1598,2.6818,4.2036,0,2.0535,0.3782,0.3327,0.0077,0.0377,3.0.257
fuelbed_41123.xml,41123,"Xeric upland 21-40 yr old longleaf pine forest, 4-8 yr mFRI",441,3.6317,2.614,3.6317,2.285,4.457,4.4147,7.6902,3.4209,1.1063,0.9274,0.1125,0.0664,3.0.257
fuelbed_41124.xml,41124,"Xeric upland 41-60 yr old longleaf pine forest, 4-8 yr mFRI",431,4.1811,2.6661,4.1811,2.5621,3.0026,2.016,7.6902,2.4261,1.0426,0.8058,0.1212,0.1157,3.0.257
fuelbed_41125.xml,41125,"Xeric upland 61-100 yr old longleaf pine forest, 4-8 yr mFRI",431,4.0285,2.7109,4.0285,2.6263,2.786,1.8538,7.6902,2.0829,1.2919,0.9876,0.1307,0.1735,3.0.257
fuelbed_41126.xml,41126,"Xeric upland >100 yr old longleaf pine forest, 4-8 yr mFRI",431,3.9255,2.6774,3.9255,2.6011,2.7234,1.747,7.6902,2.0438,1.3679,1.0436,0.1356,0.1887,3.0.257
fuelbed_41131.xml,41131,"Xeric upland 0-10 yr old longleaf pine forest, 9-20 yr mFRI",200,2.016,2.5915,2.016,1.6875,0.4026,0,0,0.9393,0.2605,0.2043,0.0074,0.0488,3.0.257
fuelbed_41132.xml,41132,"Xeric upland 11-20 yr old longleaf pine forest, 9-20 yr mFRI",331,3.0367,2.6606,3.0367,2.1261,2.564,4.1464,0,1.8358,0.5941,0.4785,0.015,0.1006,3.0.257
fuelbed_41133.xml,41133,"Xeric upland 21-40 yr old longleaf pine forest, 9-20 yr mFRI",341,3.1555,2.7902,3.1555,2.3484,4.3534,4.5209,7.6902,3.0729,1.4359,1.1524,0.1249,0.1586,3.0.257
fuelbed_41134.xml,41134,"Xeric upland 41-60 yr old longleaf pine forest, 9-20 yr mFRI",442,3.9819,2.7767,3.9819,2.6794,3.7629,2.2069,9,3.5726,1.679,1.2276,0.2348,0.2165,3.0.257
fuelbed_41135.xml,41135,"Xeric upland 61-100 yr old longleaf pine forest, 9-20 yr mFRI",442,3.9745,2.7417,3.9745,2.6857,3.746,1.9581,9,3.7819,2.0644,1.4952,0.2948,0.2744,3.0.257
fuelbed_41136.xml,41136,"Xeric upland >100 yr old longleaf pine forest, 9-20 yr mFRI",442,3.9638,2.6518,3.9638,2.6382,3.8053,1.8216,9,4.0568,2.3958,1.7591,0.3043,0.3324,3.0.257
fuelbed_41211.xml,41211,"Xeric upland 21-40 yr old long-needle pine plantation, 1-3 yr mFRI",402,3.95,5.1233,3.95,3.5809,0.312,0,0,0.728,1.5306,0.8231,0.3686,0.3389,3.0.257
fuelbed_41212.xml,41212,"Xeric upland 41-60 yr old long-needle pine plantation, 1-3 yr mFRI",421,4.0055,5.0588,4.0055,3.5639,2.02,4.138,0,0.5751,1.3323,0.9032,0.2257,0.2033,3.0.257
fuelbed_41213.xml,41213,"Xeric upland 21-40 yr old long-needle pine plantation, 4-8 yr mFRI",422,4.4313,4.9585,4.4313,3.7454,1.7836,3.3509,0,0.8105,1.8971,1.2002,0.358,0.3389,3.0.257
fuelbed_41313.xml,41313,"Xeric upland 41-60 yr old long-needle pine plantation, 4-8 yr mFRI",321,3.3491,3.9213,3.3491,3.0186,1.677,2.9092,0,1.0036,1.4372,0.8873,0.2789,0.2711,3.0.257
fuelbed_41314.xml,41314,"Xeric upland 11-20 yr old long-needle pine plantation, 9-20 yr mFRI",422,4.2072,4.4646,4.2072,3.624,2.0659,3.4104,0,1.4099,1.9377,1.3384,0.1927,0.4066,3.0.257
fuelbed_41315.xml,41315,"Xeric upland 21-40 yr old long-needle pine plantation, 9-20 yr mFRI",422,4.2072,4.4646,4.2072,3.624,2.0181,3.1284,0,1.5803,1.9824,1.3831,0.1927,0.4066,3.0.257
fuelbed_41316.xml,41316,"Xeric upland 41-60 yr old long-needle pine plantation, 9-20 yr mFRI",422,4.2072,4.4646,4.2072,3.624,2.0826,3.1284,0,1.7308,2.0154,1.416,0.1927,0.4066,3.0.257
fuelbed_41413.xml,41413,"Xeric upland 0-10 yr old long-needle pine plantation, >20 yr mFRI",632,5.6304,8.8049,5.6304,5.2273,2.7382,4.8583,0,1.5305,1.8423,1.1601,0.3087,0.3736,3.0.257
fuelbed_41414.xml,41414,"Xeric upland 11-20 yr old long-needle pine plantation, >20 yr mFRI",632,6.0204,9,6.0204,5.6701,3.0539,5.2142,0,1.9111,2.2889,1.5628,0.2169,0.5091,3.0.257
fuelbed_41415.xml,41415,"Xeric upland 21-40 yr old long-needle pine plantation, >20 yr mFRI",632,6.0204,9,6.0204,5.6701,2.9421,4.7391,0,2.1253,2.3335,1.6074,0.2169,0.5091,3.0.257
fuelbed_41416.xml,41416,"Xeric upland 41-60 yr old long-needle pine plantation, >20 yr mFRI",632,6.0204,9,6.0204,5.6701,3.0207,4.7391,0,2.3086,2.3665,1.6404,0.2169,0.5091,3.0.257
fuelbed_41513.xml,41513,"Xeric upland 21-40 yr old long-needle pine plantation, 1-3 yr mFRI",341,3.3066,2.2282,3.3066,2.0258,3.587,3.9759,4.7451,2.8116,0.6643,0.5952,0.009,0.0601,3.0.257
fuelbed_41514.xml,41514,"Xeric upland 41-60 yr old long-needle pine plantation, 1-3 yr mFRI",421,4.4324,3.2385,4.4324,2.9528,2.3232,2.246,4.7451,1.5926,0.6545,0.5347,0.0166,0.1032,3.0.257
fuelbed_41523.xml,41523,"Xeric upland 21-40 yr old long-needle pine plantation, 4-8 yr mFRI",451,3.7402,2.6333,3.7402,2.3241,4.5315,4.4802,7.6902,3.5292,1.0983,0.921,0.1109,0.0664,3.0.257
fuelbed_41532.xml,41532,"Xeric upland 11-20 yr old long-needle pine plantation, 9-20 yr mFRI",321,3.0187,2.4282,3.0187,2.003,2.4642,3.9368,0,1.8127,0.574,0.4584,0.015,0.1006,3.0.257
fuelbed_41533.xml,41533,"Xeric upland 21-40 yr old long-needle pine plantation, 9-20 yr mFRI",341,2.9475,2.5531,2.9475,2.1793,4.237,4.2364,7.6902,3.0859,1.4191,1.1356,0.1249,0.1586,3.0.257
fuelbed_41534.xml,41534,"Xeric upland 41-60 yr old long-needle pine plantation, 9-20 yr mFRI",342,3.3712,2.5785,3.3712,2.405,3.6757,2.009,9,3.567,1.679,1.2276,0.2348,0.2165,3.0.257
fuelbed_41541.xml,41541,"Xeric upland 0-10 yr old ong-needle pine plantation, >20 yr mFRI",200,1.8183,2.1585,1.8183,1.6189,0.3456,0,0,0.8064,0.2289,0.2008,0.0103,0.0178,3.0.257
fuelbed_41542.xml,41542,"Xeric upland 11-20 yr old ong-needle pine plantation, >20 yr mFRI",220,2.4552,2.1662,2.4552,1.9118,1.565,2.5962,0,1.0553,0.4446,0.2605,0.0753,0.1088,3.0.257
fuelbed_41543.xml,41543,"Xeric upland 21-40 yr old long-needle pine plantation, >20 yr mFRI",431,3.6321,2.0273,3.6321,2.1324,3.2289,2.8548,5.8419,2.7316,1.0711,0.5945,0.2903,0.1863,3.0.257
fuelbed_41544.xml,41544,"Xeric upland 41-60 yr old long-needle pine plantation, >20 yr mFRI",442,4.2881,2.386,4.2881,2.4594,4.3935,2.9971,7.1922,4.8562,1.865,0.9994,0.5644,0.3012,3.0.257
fuelbed_42141.xml,42141,"Xeric upland 0-10 yr old oak-pine forest, >20 yr mFRI",200,2.0017,5.0627,1.2938,2.0017,0.2919,0,0,0.6811,0.3313,0.3112,0.0083,0.0118,3.0.257
fuelbed_42142.xml,42142,"Xeric upland 11-20 yr old oak-pine forest, >20 yr mFRI",201,2.0313,4.0419,1.6559,2.0313,0.4659,0,0,1.0869,0.7746,0.6104,0.0702,0.094,3.0.257
fuelbed_42143.xml,42143,"Xeric upland 21-40 yr old oak-pine forest, >20 yr mFRI",341,3.212,2.4895,3.212,2.1861,4.0255,4.248,5.8419,3.1968,1.4447,0.988,0.2852,0.1715,3.0.257
fuelbed_42144.xml,42144,"Xeric upland 41-60 yr old oak-pine forest, >20 yr mFRI",452,3.9995,2.4734,3.9995,2.4179,4.966,4.6371,7.1922,4.552,2.3519,1.5262,0.5543,0.2715,3.0.257
fuelbed_42145.xml,42145,"Xeric upland 61-100 yr old oak-pine forest, >20 yr mFRI",463,3.7638,2.3138,3.7638,2.2726,5.5637,3.5689,9,6.4121,2.8642,1.8714,0.6223,0.3705,3.0.257
fuelbed_42146.xml,42146,"Xeric upland >100 yr old oak-pine forest, >20 yr mFRI",463,3.7639,2.3138,3.7639,2.2726,5.5637,3.5689,9,6.4121,2.8892,1.8765,0.6274,0.3853,3.0.257
fuelbed_43141.xml,43141,Xeric upland 0-10 yr old oak forest >20 yr mFRI,100,1.446,1.8068,1.446,1.3385,0,0,0,0,0.1176,0.0982,0.0066,0.0128,3.0.257
fuelbed_43142.xml,43142,"Xeric upland 11-20 yr old oak forest, >20 yr mFRI",220,2.4073,1.9611,2.4073,1.8377,1.7688,3.2345,0,0.8926,0.3176,0.226,0.0164,0.0752,3.0.257
fuelbed_43143.xml,43143,"Xeric upland 21-40 yr old oak forest, >20 yr mFRI",321,2.9107,2.0002,2.9107,1.9425,2.0405,2.6323,0,2.1284,0.6585,0.4711,0.0737,0.1136,3.0.257
fuelbed_43144.xml,43144,"Xeric upland 41-60 yr old oak forest, >20 yr mFRI",541,4.5014,2.4057,4.5014,2.5144,3.5545,2.8769,5.8419,3.4691,0.902,0.616,0.1132,0.1728,3.0.257
fuelbed_43145.xml,43145,"Xeric upland 61-100 yr old oak forest, >20 yr mFRI",521,4.5841,2.241,4.5841,2.436,2.1119,2.53,7.1922,0,1.0972,0.7009,0.1435,0.2528,3.0.257
fuelbed_43146.xml,43146,"Xeric upland >100 yr old oak forest, >20 yr mFRI",421,4.48,2.2935,4.48,2.4438,2.1149,2.537,7.1922,0,1.1622,0.7442,0.1492,0.2688,3.0.257
fuelbed_44141.xml,44141,"Xeric upland 0-10 yr old sand pine forest, >20 yr mFRI",310,3.0332,4.9014,3.0332,2.9577,0.5932,0,0,1.3839,0.3649,0.2759,0.019,0.07,3.0.257
fuelbed_44142.xml,44142,"Xeric upland 11-20 yr old sand pine forest, >20 yr mFRI",331,2.9667,3.4146,2.9667,2.5829,3.1541,4.911,0,2.448,0.8055,0.5883,0.0908,0.1264,3.0.257
fuelbed_44143.xml,44143,"Xeric upland 21-40 yr old sand pine forest, >20 yr mFRI",442,4.0778,3.2157,4.0778,2.9257,4.2659,2.7032,8.1225,4.5423,1.6114,1.1747,0.2963,0.1405,3.0.257
fuelbed_44144.xml,44144,"Xeric upland 41-60 yr old sand pine forest, >20 yr mFRI",442,4.1958,3.0875,4.1958,2.8985,4.4327,2.3204,8.507,5.1861,2.0256,1.5693,0.3017,0.1546,3.0.257
fuelbed_44145.xml,44145,Xeric upland 61-100 yr old sand pine forest and >20 yr mFRI,442,3.7267,2.4949,3.7267,2.5505,4.4555,1.7513,8.507,5.8084,2.0154,1.6764,0.269,0.07,3.0.257
fuelbed_44146.xml,44146,Xeric upland >100 yr old sand pine forest and >20 yr mFRI,453,4.1541,2.4949,4.1541,2.6811,5.1999,3.3528,8.507,5.9438,2.789,2.45,0.269,0.07,3.0.257
fuelbed_44541.xml,44541,"Xeric upland 0-10 yr old sand pine plantation, >20 year mFRI",310,3.1313,2.5227,3.1313,2.3138,0.5296,0,0,1.2355,0.2809,0.2075,0.0146,0.0587,3.0.257
fuelbed_44542.xml,44542,"Xeric upland 11-20 yr old sand pine plantation, >20 yr mFRI",431,3.9529,2.9704,3.9529,2.7989,3.4782,5.2662,0,2.8489,0.7443,0.5857,0.0744,0.0841,3.0.257
fuelbed_44543.xml,44543,"Xeric upland 21-40 yr old sand pine plantation, >20 yr mFRI",442,4.1484,3.1157,4.1484,2.9224,4.4211,2.7006,8.1225,4.9073,1.5355,1.1574,0.2799,0.0982,3.0.257
fuelbed_44544.xml,44544,"Xeric upland 41-60 yr old sand pine plantation, >20 yr mFRI",452,4.293,3.0946,4.293,2.9628,4.5048,2.3651,8.507,5.3096,1.9709,1.5537,0.2908,0.1264,3.0.257
fuelbed_57900.xml,57900,Rangeland,700,7.4541,3.9515,7.4541,3.7068,0,0,0,0,0.0676,0.0676,0,0,3.0.257
